rank,entrez_id,gene_id,degree,logFC,FDR,direction
1,14433,NM_008084_6_-_1,147,-1.11965813505102,4.6846706783277905e-17,DOWN
2,16193,NM_031168_5_+_1,119,-2.18491887161919,0.0071204059085974,DOWN
3,22187,NM_011664_11_+_1,112,-1.83031024899436,2.8754126542587104e-15,DOWN
4,14109,NM_001160239_19_+_1,73,-0.61084685932377,0.0497583911654981,DOWN
5,27367,NM_013762_15_-_1,73,-0.562872989857538,0.0003351087007473,DOWN
6,100038882,NM_015783_4_-_1,72,-1.12932063608532,0.0007481539623975,DOWN
7,11837,NM_007475_5_+_1,70,-0.454838563608162,0.0397890282327815,DOWN
8,64657,NM_001146212_17_+_1,66,-1.40724837760444,2.3070990445894e-09,DOWN
9,68052,NM_026533_7_-_1,65,-0.661857317208383,0.0451771191308663,DOWN
10,19014,NM_013634_11_-_1,64,0.917287704749676,0.0110857072870709,UP
