entrez_id,rw_score,type
21849,1.0,ENRICHED
110454,0.7346871489278562,DEG Seed
66039,0.5625824256337615,DEG Seed
59069,0.5197943633077712,DEG Seed
14109,0.5164484931373028,DEG Seed
14433,0.4949201387192888,DEG Seed
11857,0.4947369706442632,DEG Seed
414758,0.48869242416841696,DEG Seed
11816,0.477506960386851,DEG Seed
14688,0.459006984809261,DEG Seed
22059,0.4451839007473257,ENRICHED
16193,0.4177086894934792,DEG Seed
11820,0.40997899672739707,DEG Seed
22187,0.39840277438577637,DEG Seed
14537,0.39707175304059006,DEG Seed
66606,0.3934328139500806,DEG Seed
68675,0.38522688418893175,DEG Seed
14245,0.38470180237385826,DEG Seed
212528,0.3834196258486787,DEG Seed
170787,0.38061104869828555,DEG Seed
12517,0.38030576857324283,DEG Seed
60532,0.37970741952815906,DEG Seed
21926,0.3792922385581009,ENRICHED
54123,0.37858398866800175,DEG Seed
231600,0.37858398866800175,DEG Seed
67889,0.3730401015972256,DEG Seed
22276,0.3707321838519025,DEG Seed
20617,0.36876617984662724,DEG Seed
11461,0.3681556195965418,ENRICHED
170755,0.36759390416646315,DEG Seed
50762,0.36603086992624434,DEG Seed
19014,0.36493186147609047,DEG Seed
11651,0.362721633370781,ENRICHED
74094,0.3620011722756802,DEG Seed
64657,0.3539051433595467,DEG Seed
11656,0.35319689346944755,DEG Seed
78294,0.34616323938846283,ENRICHED
17749,0.33967908953255505,DEG Seed
433182,0.3385190250573927,DEG Seed
68436,0.3195061788697309,DEG Seed
433759,0.31771113173447957,DEG Seed
407785,0.31730816196942313,DEG Seed
209387,0.311764274898647,DEG Seed
80287,0.30762467640306745,DEG Seed
12387,0.3057685732428076,ENRICHED
17025,0.30491378889268794,DEG Seed
12234,0.30326527621745714,DEG Seed
19358,0.29907683290187076,DEG Seed
16905,0.2984906950617887,DEG Seed
26914,0.2979045572217066,DEG Seed
100038882,0.296964294436575,DEG Seed
57444,0.29509598007131344,DEG Seed
15288,0.2945464758462365,DEG Seed
15267,0.2936672690861134,DEG Seed
110257,0.2933253553460656,DEG Seed
226026,0.2901626532506228,DEG Seed
231430,0.2899184291505886,DEG Seed
328162,0.28949103697552875,DEG Seed
22042,0.2879402139403116,DEG Seed
18707,0.2878669467103014,DEG Seed
67212,0.28762272261026717,DEG Seed
68977,0.28735407610022956,DEG Seed
319161,0.2868045718751526,DEG Seed
23945,0.28554681775997653,DEG Seed
23960,0.2853514384799492,DEG Seed
14582,0.27839105162897476,DEG Seed
207728,0.27758511209886194,DEG Seed
12040,0.27712108630879695,DEG Seed
18000,0.2769012846187662,DEG Seed
211586,0.27611976749865674,DEG Seed
116871,0.27594881062863286,DEG Seed
13169,0.2757290089386021,DEG Seed
66468,0.27491085820348754,DEG Seed
15950,0.2747399013334636,DEG Seed
30939,0.27469105651345677,DEG Seed
12478,0.27464221169344993,DEG Seed
213012,0.27464221169344993,DEG Seed
19664,0.2736164704733063,DEG Seed
18634,0.2736042592683046,DEG Seed
19261,0.2721755482831046,DEG Seed
18391,0.2719557465930738,DEG Seed
27360,0.27185805695306015,DEG Seed
22428,0.2717603673130464,DEG Seed
18439,0.27135739754799004,DEG Seed
228998,0.2695379280027353,DEG Seed
64656,0.2690372685976652,DEG Seed
77945,0.2689762125726567,DEG Seed
15481,0.2688663117276413,DEG Seed
83485,0.2682435402725541,DEG Seed
68044,0.268206906657549,DEG Seed
13057,0.2679748937625165,DEG Seed
71586,0.2677184584574806,DEG Seed
140499,0.2676451912274703,DEG Seed
23939,0.2675963464074635,DEG Seed
15511,0.2675597127924584,DEG Seed
26940,0.26731548869242416,DEG Seed
15978,0.2669735749523763,ENRICHED
105727,0.2669613637473746,DEG Seed
67068,0.2667537732623455,DEG Seed
73385,0.266692717237337,DEG Seed
319236,0.2661920578322669,DEG Seed
12821,0.26541054071215747,DEG Seed
12504,0.264885458897084,ENRICHED
224826,0.26434816587700877,DEG Seed
66349,0.2637864504469301,DEG Seed
21340,0.26361549357690617,DEG Seed
77877,0.26284618766179846,DEG Seed
228875,0.26273628681678307,DEG Seed
16328,0.26265080838177113,DEG Seed
56454,0.26245542910174374,ENRICHED
12091,0.2617349680066429,DEG Seed
15018,0.26144189908660187,DEG Seed
20908,0.26142968788160015,DEG Seed
73847,0.2613808430615933,DEG Seed
27367,0.2613319982415865,DEG Seed
52231,0.2611488301665608,DEG Seed
68585,0.259964343281395,DEG Seed
211499,0.2599154984613882,DEG Seed
67283,0.25989107605138473,DEG Seed
71954,0.25825477458115564,DEG Seed
12531,0.25823035217115226,DEG Seed
21682,0.2576442143310702,DEG Seed
23971,0.2574488350510428,DEG Seed
327959,0.2572778781810189,DEG Seed
331188,0.2571801885410052,DEG Seed
16439,0.2570092316709813,DEG Seed
26611,0.2564963610609095,DEG Seed
24135,0.25632540419088556,DEG Seed
234138,0.25631319298588384,DEG Seed
11640,0.2562155033458702,DEG Seed
19089,0.2561544473208616,DEG Seed
19691,0.25529966297074197,DEG Seed
15354,0.2551042836907146,DEG Seed
14460,0.2548112147706736,DEG Seed
66124,0.25476236995066676,DEG Seed
75763,0.25417623211058465,DEG Seed
12331,0.25410296488057443,DEG Seed
66078,0.253699995115518,DEG Seed
12333,0.2533580813754701,DEG Seed
100101807,0.25313827968543934,DEG Seed
11502,0.25299174522541884,DEG Seed
66119,0.2528329995603966,DEG Seed
73610,0.2526864651003761,DEG Seed
67010,0.2525521418453573,DEG Seed
72401,0.2525155082303522,DEG Seed
67333,0.2518683143652616,DEG Seed
104348,0.2515386118302154,DEG Seed
319475,0.2512577541151761,DEG Seed
208820,0.25109900845015387,DEG Seed
20963,0.2507326723001026,DEG Seed
13047,0.2506838274800957,DEG Seed
218100,0.2506594050700923,DEG Seed
637515,0.2505006594050701,DEG Seed
21379,0.2505006594050701,DEG Seed
94091,0.24998778879499828,DEG Seed
56461,0.2498656767449812,DEG Seed
105670,0.2496336638499487,DEG Seed
16970,0.24954818541493676,DEG Seed
226101,0.24920627167488887,DEG Seed
99167,0.24866897865481366,DEG Seed
72440,0.24848581057978802,DEG Seed
52668,0.24843696575978116,DEG Seed
213393,0.24805841840472817,DEG Seed
11488,0.24800957358472134,DEG Seed
72029,0.24798515117471792,DEG Seed
11837,0.24791188394470767,DEG Seed
66871,0.24766765984467348,DEG Seed
67182,0.24752112538465296,DEG Seed
18744,0.2468128754945538,DEG Seed
13649,0.2465442289845162,ENRICHED
76273,0.24543300932936063,DEG Seed
13347,0.2454085869193572,DEG Seed
22351,0.24532310848434524,DEG Seed
68052,0.24428515605919993,DEG Seed
218341,0.24383334147413666,DEG Seed
76824,0.24380891906413324,DEG Seed
100042856,0.24363796219410933,DEG Seed
93675,0.24340594929907683,DEG Seed
195522,0.24269769940897767,DEG Seed
382045,0.2424656865139452,DEG Seed
20020,0.24200166072388024,DEG Seed
18115,0.24152542372881355,DEG Seed
74558,0.24089044106872468,DEG Seed
235047,0.240707272993699,DEG Seed
106869,0.24062179455868704,DEG Seed
11657,0.24024324720363405,ENRICHED
171167,0.23970595418355883,DEG Seed
16653,0.23858252332340155,ENRICHED
16818,0.23797196307331608,DEG Seed
16176,0.23782542861329556,ENRICHED
12228,0.23728813559322035,DEG Seed
268697,0.2367264201631417,DEG Seed
231655,0.23259903287256387,DEG Seed
76547,0.2324036535925365,DEG Seed
14151,0.2312313779123724,DEG Seed
15958,0.22998583500219802,DEG Seed
237926,0.22910662824207492,DEG Seed
12370,0.22717725785180481,DEG Seed
20084,0.22611488301665608,DEG Seed
20085,0.225992770966639,DEG Seed
